subject,lhWhiteSurfArea,lhMeanThickness,rhWhiteSurfArea,rhMeanThickness,WhiteSurfArea,MeanThickness,lhCortexVol,rhCortexVol,CortexVol,lhCorticalWhiteMatterVol,rhCorticalWhiteMatterVol,CorticalWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,IntraCranialVol
0050162,86971.2,2.95746,86220.4,2.96218,173191.6,2.95982,281512.036978,279334.785102,560846.82208,205253.5,203104.5625,408358.0625,176925.0,737771.82208,1049608.52982,1018255.21955
0050163,88699.3,3.10478,88586.2,3.00212,177285.5,3.05345,309089.652801,301428.502138,610518.154939,231690.5625,230501.046875,462191.609375,203809.0,814327.154939,1180060.98107,1191705.90075
0050164,78748.9,3.01393,77004.9,3.00047,155753.8,3.0072,267166.32648,261529.687297,528696.013777,194940.578125,191934.234375,386874.8125,194268.0,722964.013777,1010848.23707,1212844.80435
0050165,86321.4,3.04175,85503.1,3.03418,171824.5,3.037965,296352.619423,293133.244807,589485.86423,206372.4375,205302.28125,411674.71875,198776.0,788261.86423,1104664.01297,1099304.5504
0050166,84568.2,2.92882,85061.7,2.92942,169629.9,2.92912,281479.754247,281319.353944,562799.108191,209515.71875,210144.5625,419660.28125,194625.0,757424.108191,1084322.1902,1183943.58827
0050167,99796.8,3.01254,98976.9,2.9976,198773.7,3.00507,329216.732661,323201.254448,652417.987109,243011.59375,242638.453125,485650.046875,199255.0,851672.987109,1235905.19632,1268833.76865
0050168,83609.8,3.07481,84675.1,3.02007,168284.9,3.04744,295150.606491,293979.637987,589130.244478,210655.828125,211682.84375,422338.671875,211828.0,800958.244478,1113767.04543,1125961.09508
0050169,96725.0,2.94557,95210.1,2.89675,191935.1,2.92116,318458.139424,310885.117804,629343.257228,253226.359375,251430.171875,504656.53125,215781.0,845124.257228,1239154.77019,1250881.22359
0050170,100754.0,2.90958,101536.0,2.88227,202290.0,2.895925,318564.523434,317325.105419,635889.628853,273938.5,275465.890625,549404.390625,200541.0,836430.628853,1286694.7066,1211622.30337
0050171,98273.0,2.93383,98322.8,2.9351,196595.8,2.934465,325321.665195,324924.80583,650246.471024,232649.390625,230105.046875,462754.4375,208471.0,858717.471024,1215017.99454,1353170.03526
0050551,84234.3,2.55531,82118.1,2.59549,166352.4,2.5754,252397.15585,249371.791365,501768.947214,229724.703125,226901.890625,456626.59375,193905.0,695673.947214,1045832.95696,1087040.59336
0050552,92206.3,2.44614,90650.2,2.50687,182856.5,2.476505,257285.094012,255714.838017,512999.932029,272641.390625,270503.6875,543145.078125,200396.0,713395.932029,1148384.89401,1170138.63505
0050553,81358.7,2.81322,81453.2,2.83396,162811.9,2.82359,252994.630122,252589.824756,505584.454878,184622.75,184365.59375,368988.34375,183031.0,688615.454878,961040.079422,744762.569847
0050554,74539.0,2.76753,74471.4,2.75043,149010.4,2.75898,239611.282105,242558.858563,482170.140668,191594.3125,195304.515625,386898.828125,178003.0,660173.140668,957951.022605,1038390.3474
0050555,94924.2,2.2679,96033.2,2.31798,190957.4,2.29294,248663.367649,257226.407443,505889.775092,307531.140625,310655.734375,618186.875,211769.0,717658.775092,1241009.69753,1337379.39728
0051467,104077.0,2.69987,103366.0,2.76206,207443.0,2.730965,311778.597065,314082.481293,625861.078358,283124.5,283715.125,566839.625,217666.0,843527.078358,1297924.92746,1796914.56734
0050557,90073.6,2.60567,87392.1,2.5225,177465.7,2.564085,253244.520467,241101.786647,494346.307114,254373.125,253083.09375,507456.21875,191739.0,686085.307114,1116486.0621,1253490.61789
0050558,73330.0,2.61549,74532.4,2.66229,147862.4,2.63889,210537.137485,219432.611261,429969.748745,180025.421875,184407.0,364432.421875,163440.0,593409.748745,885052.552147,1017491.32066
0050559,80996.2,2.48835,80240.9,2.57056,161237.1,2.529455,239775.64813,248807.231185,488582.879315,231279.953125,231397.078125,462677.03125,206451.0,695033.879315,1064037.26349,1367816.06035
0050560,78071.4,2.71475,81654.2,2.85992,159725.6,2.787335,251878.806623,275527.479459,527406.286082,212744.8125,220561.234375,433306.046875,211173.0,738579.286082,1066950.92043,1453279.04266
0050561,86005.8,2.42992,86771.1,2.46129,172776.9,2.445605,237385.54492,237452.711877,474838.256797,245801.515625,248642.796875,494444.3125,189009.0,663847.256797,1069173.82329,1187397.83689
0050562,91281.0,2.46422,88761.4,2.53389,180042.4,2.499055,253366.239316,257337.877988,510704.117305,252945.703125,256099.890625,509045.59375,221195.0,731899.117305,1144805.3096,1329856.27229
0050563,74823.4,2.42954,77952.2,2.40525,152775.6,2.417395,210152.443366,216696.276993,426848.720359,203975.46875,215370.3125,419345.78125,162516.0,589364.720359,932571.995968,1020295.31163
0050564,70298.9,2.53808,72608.8,2.60356,142907.7,2.57082,211183.790448,223585.415938,434769.206386,191513.515625,197418.484375,388932.0,192066.0,626835.206386,921669.408132,1186274.98221
0050565,71744.2,2.69081,74363.9,2.67714,146108.1,2.683975,234725.472767,243966.230739,478691.703507,188661.5,197070.53125,385732.03125,186217.0,664908.703507,965485.291165,1382516.57803
0050566,77389.3,2.6809,79833.4,2.68142,157222.7,2.68116,246719.621532,253521.972976,500241.594508,216985.328125,224202.0,441187.328125,204577.0,704818.594508,1040847.86775,1361258.28771
0050567,77843.3,2.4863,77975.1,2.48661,155818.4,2.486455,230155.795781,225441.632082,455597.427863,226240.375,228660.796875,454901.171875,180872.0,636469.427863,1005635.01834,1377525.72142
0050568,75392.2,2.53636,76040.9,2.42003,151433.1,2.478195,225674.158306,216650.895765,442325.054071,210092.140625,212195.515625,422287.65625,181216.0,623541.054071,961161.091104,1023202.24089
0050569,71886.7,2.38542,75071.1,2.37142,146957.8,2.37842,196250.583675,202771.495652,399022.079327,209089.921875,216266.578125,425356.5,165486.0,564508.079327,912550.543975,992232.557675
0050570,90223.4,2.32025,89800.0,2.31982,180023.4,2.320035,233935.429063,234937.251715,468872.680779,276626.46875,274185.703125,550812.171875,201006.0,669878.680779,1168299.23078,1544085.86241
0050571,79065.6,2.42676,76297.6,2.53283,155363.2,2.479795,228854.727074,231840.26995,460694.997025,217407.828125,214852.28125,432260.109375,186536.0,647230.997025,999907.586801,1237938.04502
0050572,82061.8,2.32078,80443.2,2.31801,162505.0,2.319395,215402.385768,212471.590598,427873.976366,242629.90625,241720.40625,484350.3125,179014.0,606887.976366,1024292.85614,1229834.82515
0050573,79996.2,2.32607,82318.6,2.47746,162314.8,2.401765,212595.001314,230248.323678,442843.324993,227244.734375,233831.140625,461075.875,180189.0,623032.324993,1006685.75937,1211078.07497
0050574,89036.5,2.48822,88666.5,2.55583,177703.0,2.522025,256830.183394,264236.255733,521066.439127,251915.828125,253006.4375,504922.265625,198103.0,719169.439127,1134193.17144,1493496.28433
0050575,87139.3,2.43397,91349.5,2.51223,178488.8,2.4731,242577.358813,258993.505201,501570.864014,276258.5,286738.046875,562996.546875,199034.0,700604.864014,1196817.31369,1413516.3855
0050576,73001.4,2.55878,71833.8,2.64228,144835.2,2.60053,219516.245689,224165.819916,443682.065605,195846.46875,196129.5,391975.96875,164897.0,608579.065605,926027.994693,1003217.26318
0050577,70311.2,2.48542,73548.3,2.55833,143859.5,2.521875,202988.735373,219955.514687,422944.250059,206515.25,214817.640625,421332.890625,177415.0,600359.250059,947476.187121,1234399.39442
0050578,83099.1,2.45329,85723.7,2.55941,168822.8,2.50635,239153.445756,259877.062394,499030.50815,222903.53125,231329.65625,454233.1875,190402.0,689432.50815,1051496.21768,1137190.92572
0050601,80044.5,2.34474,79873.7,2.3812,159918.2,2.36297,217425.132756,219423.723496,436848.856252,239887.609375,235906.484375,475794.09375,182579.0,619427.856252,1023606.32547,1127027.8077
0050602,87790.8,2.95199,86806.7,2.85645,174597.5,2.90422,291980.057564,284047.729161,576027.786725,207363.828125,204716.390625,412080.21875,198139.0,774166.786725,1094516.57698,1083570.27281
0050603,86644.7,2.46869,88258.2,2.48422,174902.9,2.476455,246779.096125,252518.256179,499297.352304,244148.9375,247811.421875,491960.359375,205463.0,704760.352304,1121573.65904,961619.908166
0050604,72826.3,2.61769,73140.7,2.66318,145967.0,2.640435,223690.483721,223077.447157,446767.930878,196733.046875,197348.875,394081.921875,189616.0,636383.930878,946101.420959,1055298.55776
0050605,95067.1,2.56032,99048.0,2.58043,194115.1,2.570375,287289.269281,296919.526456,584208.795737,236335.28125,250885.21875,487220.5,212144.0,796352.795737,1191676.64456,1487847.32639
0050606,94605.2,2.27644,95004.6,2.25928,189609.8,2.26786,242383.190904,240017.269177,482400.460081,263706.375,266321.84375,530028.21875,220947.0,703347.460081,1135155.43866,1320306.12166
0050607,91334.8,2.39485,95207.9,2.35699,186542.7,2.37592,249620.388592,252249.642005,501870.030597,283496.515625,290569.734375,574066.25,191008.0,692878.030597,1186825.12578,1275004.43363
0050608,93100.4,2.57477,95262.0,2.63701,188362.4,2.60589,273538.367347,284553.270732,558091.638079,271453.03125,281272.390625,552725.421875,231573.0,789664.638079,1232596.91441,1408144.05385
0050609,81662.1,2.32834,84448.8,2.39441,166110.9,2.361375,215685.182525,235611.695889,451296.878414,222878.078125,231566.8125,454444.890625,193609.0,644905.878414,1008118.57573,1155545.32128
0050610,83563.3,2.45878,83437.8,2.4756,167001.1,2.46719,238414.065612,244730.116827,483144.182439,212921.125,215400.640625,428321.765625,189695.0,672839.182439,1021905.03612,915562.530279
0050611,90603.9,2.43535,91898.5,2.52078,182502.4,2.478065,253566.677981,266284.732952,519851.410933,241142.859375,246526.484375,487669.34375,185475.0,705326.410933,1121548.64586,857412.021139
0050612,80341.6,2.52507,84135.0,2.66105,164476.6,2.59306,244597.913354,274370.1496,518968.062953,227732.421875,237885.734375,465618.15625,207372.0,726340.062953,1105436.54895,1417064.45017
0050613,91639.3,2.59682,90713.3,2.67033,182352.6,2.633575,281157.43311,285453.690733,566611.123843,247172.390625,250355.25,497527.640625,218655.0,785266.123843,1168446.45457,1372560.73938
0050614,77877.9,2.42669,77681.9,2.4159,155559.8,2.421295,220589.237793,217419.255826,438008.493619,214345.984375,213335.21875,427681.203125,185549.0,623557.493619,972833.990315,1063743.55434
0050615,60709.4,2.51423,64109.5,2.68081,124818.9,2.59752,186073.983396,209098.249666,395172.233062,164236.40625,171939.0,336175.40625,152211.0,547383.233062,821121.082446,929524.173948
0050616,87447.9,2.57648,86856.3,2.66903,174304.2,2.622755,261583.042781,273150.479033,534733.521814,254555.515625,258874.25,513429.765625,217490.0,752223.521814,1148012.5248,1432658.79156
0050619,90102.2,2.35378,90006.7,2.30976,180108.9,2.33177,243107.693438,238205.818494,481313.511932,270344.078125,269479.96875,539824.046875,210854.0,692167.511932,1129799.79193,1503672.07418
0050620,66621.7,2.54295,69209.7,2.69827,135831.4,2.62061,200693.601928,223343.422879,424037.024807,184380.28125,189512.84375,373893.125,165261.0,589298.024807,885056.615886,1089884.45741
0050621,67351.1,2.37178,68399.2,2.42143,135750.3,2.396605,182998.251581,195260.033217,378258.284798,201141.59375,203642.3125,404783.90625,176153.0,554411.284798,886118.241284,1008143.95515
0050622,74918.2,2.58471,74878.5,2.62196,149796.7,2.603335,234070.815499,236917.021841,470987.83734,212665.375,212218.5625,424883.9375,195225.0,666212.83734,1026384.93578,1219664.46825
0050623,81110.6,2.41088,81806.7,2.46233,162917.3,2.436605,224633.361598,234922.265369,459555.626967,241153.0625,242882.5625,484035.625,211236.0,670791.626967,1052585.50323,1170213.54465
0050624,64811.2,2.54984,63856.6,2.64419,128667.8,2.597015,199954.641786,200752.363815,400707.005601,174906.828125,177316.859375,352223.6875,172674.0,573381.005601,845338.996813,1043485.20217
0050625,74290.6,2.68618,72935.6,2.72935,147226.2,2.707765,247020.013497,248228.888203,495248.9017,192196.1875,191354.921875,383551.109375,171559.0,666807.9017,972075.88781,1226815.21492
0050626,95140.8,2.49515,97298.9,2.61852,192439.7,2.556835,275461.403683,295236.266598,570697.670281,264248.96875,270353.375,534602.34375,205444.0,776141.670281,1216087.20303,1503670.41388
0050627,63355.2,2.54873,65748.4,2.57233,129103.6,2.56053,198127.835437,207612.757447,405740.592884,184671.53125,192133.5625,376805.09375,172896.0,578636.592884,892956.692778,1032313.57416
0050628,73805.6,2.37707,74937.5,2.47398,148743.1,2.425525,202920.596729,218287.783563,421208.380292,223491.65625,228503.796875,451995.453125,172822.0,594030.380292,977687.923566,1151293.99693
0050642,90358.0,2.51033,86794.6,2.50283,177152.6,2.50658,244756.102743,239094.161451,483850.264195,277695.84375,269595.8125,547291.65625,210001.0,693851.264195,1125323.29617,1548995.47142
0050643,83050.6,2.69042,82569.6,2.67139,165620.2,2.680905,249848.549608,248585.587226,498434.136834,241949.296875,240146.140625,482095.4375,207116.0,705550.136834,1086294.25,1419466.00022
0050644,87647.0,2.80765,88253.0,2.79431,175900.0,2.80098,278309.640785,277580.271415,555889.9122,230562.546875,233930.921875,464493.46875,184259.0,740148.9122,1103015.35246,1406257.13278
0050645,87236.9,2.70851,86216.3,2.71696,173453.2,2.712735,265038.008063,262036.220848,527074.22891,254436.921875,251233.421875,505670.34375,220416.0,747490.22891,1137045.50497,1464244.29365
0050646,93342.5,2.74532,97060.9,2.69922,190403.4,2.72227,288346.142121,294648.48142,582994.623541,279365.5,287293.546875,566659.046875,232548.0,815542.623541,1251376.30652,1557301.42581
0050647,78894.0,2.46348,79086.0,2.47461,157980.0,2.469045,216840.698582,217833.233898,434673.93248,221085.359375,223825.84375,444911.203125,192260.0,626933.93248,973452.273715,1358700.46632
0050648,82412.6,2.41125,81888.5,2.43029,164301.1,2.42077,224200.437142,223755.198214,447955.635356,206324.1875,206432.5625,412756.75,179324.0,627279.635356,951398.742748,1269620.01954
0050649,85029.0,2.79042,85934.2,2.85785,170963.2,2.824135,277017.996859,281336.399138,558354.395997,244019.140625,243558.4375,487577.578125,212449.0,770803.395997,1167986.24584,1635756.64894
0050650,72254.6,2.4843,71776.6,2.48519,144031.2,2.484745,197516.379354,198846.147303,396362.526657,191754.484375,190676.765625,382431.25,129531.0,525893.526657,859843.233652,658288.981588
0050651,109310.0,2.4466,109461.0,2.45678,218771.0,2.45169,292547.840583,291750.697736,584298.538319,325055.140625,326691.390625,651746.53125,214149.0,798447.538319,1338185.58827,1673363.70396
0050652,89121.7,2.70459,91052.9,2.73339,180174.6,2.71899,273887.493346,282958.329431,556845.822776,258063.046875,260546.109375,518609.15625,223636.0,780481.822776,1181447.92343,1674913.95042
0050653,103365.0,2.44201,103557.0,2.45789,206922.0,2.44995,276005.78184,278435.645303,554441.427143,315427.25,316042.03125,631469.28125,213026.0,767467.427143,1300637.1372,1634476.28134
0050654,90245.9,2.80486,89807.5,2.80779,180053.4,2.806325,285783.515981,284146.721657,569930.237638,252919.0625,249197.109375,502116.171875,200774.0,770704.237638,1172846.85261,1470973.87924
0050655,108680.0,2.54074,113572.0,2.52623,222252.0,2.533485,312749.719631,321379.672415,634129.392046,317545.328125,325605.46875,643150.796875,227216.0,861345.392046,1392174.43319,1815259.33494
0050656,76207.2,2.61146,76444.9,2.59975,152652.1,2.605605,225875.820846,224652.143598,450527.964443,216970.25,216688.421875,433658.671875,182319.0,632846.964443,961063.734719,1229814.2787
0050657,95081.6,2.8163,96498.1,2.80713,191579.7,2.811715,307988.588191,309192.077759,617180.66595,268268.953125,271271.359375,539540.3125,207257.0,824437.66595,1261683.21682,1597603.36256
0050658,98533.8,2.61364,100097.0,2.58967,198630.8,2.601655,285707.79757,285943.474573,571651.272143,293758.765625,295830.015625,589588.78125,208468.0,780119.272143,1276451.49876,1547581.23114
0050659,98666.8,2.73412,101889.0,2.71533,200555.8,2.724725,304265.712482,311071.241846,615336.954328,290423.296875,294427.265625,584850.5625,231349.0,846685.954328,1318906.38892,1817725.29935
0050660,87779.5,2.67146,88363.6,2.64737,176143.1,2.659415,259118.75595,261705.615964,520824.371913,251888.34375,255277.671875,507166.015625,196457.0,717281.371913,1142561.60643,1236672.32234
0050663,93678.8,2.69937,94527.1,2.72959,188205.9,2.71448,284826.211921,289063.085833,573889.297754,258986.65625,259864.25,518850.90625,225682.0,799571.297754,1206725.22241,1635681.82661
0050664,87317.8,2.48247,87528.0,2.52725,174845.8,2.50486,241171.647103,246680.588806,487852.235909,230047.21875,231249.703125,461296.921875,197945.0,685797.235909,1039204.47572,1218934.76401
0050665,76161.7,2.74541,76975.5,2.74297,153137.2,2.74419,236145.407018,236451.283197,472596.690215,223883.890625,225437.96875,449321.859375,190566.0,663162.690215,1010996.07781,1315064.50161
0050666,105156.0,2.60759,106646.0,2.60897,211802.0,2.60828,301712.791394,303121.063174,604833.854568,337836.625,343113.078125,680949.703125,214568.0,819401.854568,1397401.07615,1816064.43373
0050668,82794.3,2.57215,82137.1,2.57492,164931.4,2.573535,234282.845199,234496.369997,468779.215196,247560.609375,247885.203125,495445.8125,199280.0,668059.215196,1062081.58328,1135970.4838
0050772,96768.3,2.80234,97290.8,2.71829,194059.1,2.760315,309306.692961,302694.809464,612001.502425,231586.46875,229795.984375,461382.453125,202807.0,814808.502425,1190311.7403,1609002.11671
0050773,98655.3,3.07909,98922.2,3.06133,197577.5,3.07021,339313.720523,337755.469777,677069.1903,237288.90625,235793.6875,473082.59375,203578.0,880647.1903,1250636.42087,1648280.41241
0050774,103729.0,2.95072,104563.0,2.95125,208292.0,2.950985,340334.200063,339783.840727,680118.040791,251959.09375,254056.4375,506015.53125,197475.0,877593.040791,1287739.80008,1682259.48119
0050775,103216.0,2.82488,104954.0,2.8859,208170.0,2.85539,332349.371321,342701.995225,675051.366546,253949.96875,257016.84375,510966.8125,202210.0,877261.366546,1292970.1522,1706237.86981
0050776,86122.1,2.94788,85312.0,3.03352,171434.1,2.9907,292067.550604,295555.836802,587623.387406,195887.125,193673.359375,389560.484375,179032.0,766655.387406,1073921.7274,1422748.55086
0050777,104394.0,3.0527,105968.0,3.06274,210362.0,3.05772,358319.97101,363584.25695,721904.227961,250568.28125,254423.671875,504991.953125,224570.0,946474.227961,1339903.28852,1647306.60119
0050778,81131.3,3.02091,84224.1,3.00191,165355.4,3.01141,277916.125332,284007.952016,561924.077349,190893.953125,195238.0625,386132.015625,184507.0,746431.077349,1037980.17164,1285837.48197
0050779,70435.9,2.59405,67848.3,2.54854,138284.2,2.571295,216702.475055,207466.472506,424168.947561,181259.234375,174659.625,355918.859375,173362.0,597530.947561,889663.192455,1386437.41267
0050780,92259.5,2.90032,90599.4,2.93756,182858.9,2.91894,304832.693899,298005.683186,602838.377085,217075.390625,213523.8125,430599.203125,179686.0,782524.377085,1122545.96482,1525067.94363
0050781,96572.5,2.96923,97938.9,2.90241,194511.4,2.93582,320617.436741,317002.287469,637619.724209,216871.53125,219496.125,436367.65625,191287.0,828906.724209,1174787.95345,1428477.43617
0050782,87949.2,2.9252,89318.2,2.90157,177267.4,2.913385,295585.313587,295044.454775,590629.768363,214165.640625,216334.421875,430500.0625,184548.0,775177.768363,1119082.33888,1502311.86455
0050783,84089.9,2.92859,85584.1,2.89434,169674.0,2.911465,273943.81339,274381.307393,548325.120783,209728.984375,213590.71875,423319.703125,178518.0,726843.120783,1066479.26789,1299215.39177
0050784,84996.9,2.893,85551.1,3.02464,170548.0,2.95882,284615.078211,296015.92303,580631.001241,190910.5,193351.640625,384262.140625,175257.0,755888.001241,1055426.68508,1347748.24153
0050785,63629.8,2.65009,69273.0,2.61535,132902.8,2.63272,197285.43457,209309.045072,406594.479642,171718.71875,179838.5,351557.21875,195453.0,602047.479642,881211.539128,1542383.39618
0050786,96241.5,2.73,95943.3,2.77136,192184.8,2.75068,296827.756922,299929.425529,596757.182451,225489.484375,224171.765625,449661.25,210963.0,807720.182451,1162091.72227,1450905.43445
0050787,89072.7,2.60402,89370.4,2.58813,178443.1,2.596075,257088.693171,256377.988224,513466.681394,254240.671875,257138.21875,511378.890625,189215.0,702681.681394,1141962.42492,1426300.47321
0050788,98429.6,2.82333,98308.3,2.819,196737.9,2.821165,310616.372216,307648.616342,618264.988558,228678.90625,228291.4375,456970.34375,199585.0,817849.988558,1176355.06289,1517881.05898
0050789,93991.3,2.57837,95547.2,2.60308,189538.5,2.590725,279820.6095,284591.860326,564412.469826,238207.40625,242285.234375,480492.640625,210890.0,775302.469826,1154537.90877,1699625.50973
0050790,76083.2,2.75502,78478.2,2.7816,154561.4,2.76831,238959.925024,247042.862798,486002.787822,169296.765625,174317.546875,343614.3125,173409.0,659411.787822,920271.810831,1296229.32889
0050791,107122.0,2.98866,108866.0,3.04114,215988.0,3.0149,364324.80466,373776.584457,738101.389117,251663.140625,253862.484375,505525.625,203569.0,941670.389117,1353679.68637,1693837.04344
0050792,90065.0,2.98813,91083.9,2.8886,181148.9,2.938365,318193.630556,308398.716748,626592.347304,211831.390625,209544.421875,421375.8125,219453.0,846045.347304,1169238.1389,1627498.29839
0050793,84944.5,3.08273,83717.6,3.10554,168662.1,3.094135,301232.26747,298200.814551,599433.082021,203108.671875,201899.234375,405007.90625,176566.0,775999.082021,1097191.9023,1360689.18952
0050794,87027.1,2.82622,87691.1,2.88977,174718.2,2.857995,279896.886163,286268.099679,566164.985842,212638.015625,215094.1875,427732.203125,198517.0,764681.985842,1109269.20786,1495114.50538
0050795,91721.5,2.89127,92454.3,2.84512,184175.8,2.868195,304106.589423,302539.544841,606646.134264,220091.203125,220554.4375,440645.640625,193433.0,800079.134264,1153644.88513,1569359.66675
0050796,82502.0,2.96503,83360.6,2.91651,165862.6,2.94077,270716.841484,269803.677396,540520.51888,206381.234375,207139.5,413520.734375,181282.0,721802.51888,1073994.69192,1473055.99256
0050797,98699.6,2.77232,99875.0,2.84983,198574.6,2.811075,303105.705655,309659.874259,612765.579914,234525.703125,236608.875,471134.578125,183537.0,796302.579914,1184337.41748,1429914.59015
0050798,102010.0,2.91035,105030.0,2.89418,207040.0,2.902265,337368.03506,343155.858237,680523.893297,262247.65625,267175.515625,529423.171875,206609.0,887132.893297,1318590.68997,1637627.62933
0050799,90508.9,2.93687,91001.8,2.86815,181510.7,2.90251,298408.576831,295728.417201,594136.994031,224337.3125,223499.40625,447836.71875,174765.0,768901.994031,1141234.6049,1490444.16795
0051483,91487.8,2.67655,89473.0,2.68446,180960.8,2.680505,268125.505042,267690.699442,535816.204484,258864.375,257536.484375,516400.859375,203618.0,739434.204484,1148148.48448,1445304.24645
0050801,95041.8,2.78605,95919.9,2.81968,190961.7,2.802865,295764.622873,298764.256337,594528.87921,222330.8125,221305.828125,443636.640625,182204.0,776732.87921,1141715.95216,1478724.63467
0050802,89965.8,3.13316,91454.5,3.09191,181420.3,3.112535,319574.374073,322317.812521,641892.186594,213933.03125,216137.875,430070.90625,219282.0,861174.186594,1188142.47049,1505921.6743
0050803,97077.9,3.03652,98882.8,3.00177,195960.7,3.019145,331466.841695,336125.851131,667592.692825,221050.0625,223101.359375,444151.421875,190683.0,858275.692825,1211023.90428,1618710.19393
0050804,96673.9,2.9642,96698.8,3.00402,193372.7,2.98411,323637.159617,324752.770769,648389.930386,238761.15625,238477.5625,477238.71875,208581.0,856970.930386,1234677.92794,1611401.00239
0050805,100932.0,2.84983,101031.0,2.88402,201963.0,2.866925,317488.516708,322477.072314,639965.589022,251493.578125,253503.078125,504996.65625,206387.0,846352.589022,1252755.49885,1647849.93929
0050806,87644.7,2.64782,89513.9,2.75308,177158.6,2.70045,264541.219513,276302.893709,540844.113222,200364.65625,202295.6875,402660.34375,182452.0,723296.113222,1036225.67283,1393118.77332
0050807,92370.2,2.92933,93931.9,2.89733,186302.1,2.91333,302450.966577,304213.438623,606664.4052,233700.21875,234955.0625,468655.28125,191474.0,798138.4052,1173415.25522,1385394.04513
0050808,95182.8,2.85606,94798.2,2.86098,189981.0,2.85852,306353.408071,306219.036126,612572.444198,244024.125,243283.390625,487307.515625,201494.0,814066.444198,1203154.30068,1510706.70645
0050809,98969.3,2.99063,97020.9,3.04235,195990.2,3.01649,331822.815548,328477.677878,660300.493426,240527.140625,237877.828125,478404.96875,216340.0,876640.493426,1255733.45413,1619575.83898
