subjects,surface_F.Coll.left,surface_F.C.L.a.left,surface_F.C.L.p.left,surface_F.C.L.r.ant.left,surface_F.C.L.r.asc.left,surface_F.C.L.r.diag.left,surface_F.C.L.r.retroC.tr.left,surface_F.I.P.left,surface_F.C.L.r.sc.ant.left,surface_F.C.L.r.sc.post.left,surface_F.C.M.ant.left,surface_F.C.M.post.left,surface_F.Cal.ant.-Sc.Cal.left,surface_F.I.P.Po.C.inf.left,surface_F.I.P.r.int.1left,surface_F.I.P.r.int.2left,surface_F.P.O.left,surface_INSULAleft,surface_OCCIPITALleft,surface_S.C.left,surface_S.C.LPC.left,surface_S.C.sylvian.left,surface_S.Call.left,surface_S.Cu.left,surface_S.F.inf.left,surface_S.F.inf.ant.left,surface_S.F.int.left,surface_S.F.inter.left,surface_S.F.marginal.left,surface_S.F.median.left,surface_S.F.orbitaire.left,surface_S.F.polaire.tr.left,surface_S.F.sup.left,surface_S.GSM.left,surface_S.Li.ant.left,surface_S.Li.post.left,surface_S.O.T.lat.ant.left,surface_S.O.T.lat.int.left,surface_S.O.T.lat.med.left,surface_S.O.T.lat.post.left,surface_S.O.p.left,surface_S.Olf.left,surface_S.Or.left,surface_S.Pa.int.left,surface_S.Pa.sup.left,surface_S.Pa.t.left,surface_S.Pe.C.inf.left,surface_S.Pe.C.inter.left,surface_S.Pe.C.marginal.left,surface_S.Pe.C.median.left,surface_S.Pe.C.sup.left,surface_S.Po.C.sup.left,surface_S.R.inf.left,surface_S.Rh.left,surface_S.T.i.ant.left,surface_S.T.i.post.left,surface_S.T.pol.left,surface_S.T.s.left,surface_S.T.s.ter.asc.ant.left,surface_S.T.s.ter.asc.post.left,surface_S.p.C.left,surface_S.s.P.left,surface_ventricleleft
50012,1635.88,1644.78,3721.46,385.845,97.5593,551.154,27.7249,5285.81,133.982,267.755,575.262,1668.38,1341.45,882.631,901.534,574.318,2315.79,3330.07,2913.37,3223.33,,50.3745,434.673,560.323,431.306,609.908,1180.5,2608,642.844,422.428,250.623,1099.05,1947.76,57.1875,436.144,97.9174,873.706,58.5638,609.901,789.805,374.014,364.678,810.95,1105.83,,,29.9468,656.842,572.537,192.924,105.886,1010.26,109.382,353.608,773.675,1841.54,632.587,3403.04,942.124,157.276,151.98,446.635,2473.95
50013,1287.18,1381.36,3940.11,275.49,892.746,159.188,621.742,5045.73,,199.444,1479.66,826.932,1498.24,1831.87,423.924,43.945,1721.88,1973.83,1912.98,2792.59,161.013,122.082,679.16,110.325,393.464,737.439,1160.65,2124.08,863.533,469.745,131.953,390.049,2536.32,673.175,163.066,262.02,993.118,230.844,26.3166,1516.58,75.1125,607.899,1040.6,133.467,742.163,57.4557,1096.48,925.332,167.807,136.239,677.543,1055.89,26.4178,318.086,1360.81,1233.56,96.7901,3011.75,427.31,1481.97,46.6951,1075.09,2594.98
50014,2081.75,1841.43,4931.48,273.945,861.495,,338.417,4557.1,,,797.937,1402.97,1742.86,2634.32,444.912,301.975,1390.1,2957.98,2755.44,2942.41,51.4437,196.954,520.961,435.001,693.932,362.863,1145.09,1629.94,855.273,353.996,356.923,1250.34,2495.16,87.0826,321.877,195.734,319.702,,161.132,2392.75,142.022,518.414,1078.33,1408.53,658.037,321.262,1256.86,463.035,659.19,203.275,1039.42,248.666,538.746,350.363,1639.15,560.107,1198.48,3300.17,808.768,1201.98,146.082,490.026,2688.91
50015,1457.9,1847.75,4825.42,932.2,161.891,1054.27,309.35,4117.2,,224.271,1425.46,1442.51,1549.9,2230.31,467.818,347.091,2234.41,3517.93,3175.7,3209.88,42.0204,392.789,796.39,481.973,675.558,642.108,1562.44,2794.54,487.809,422.002,138.106,820.676,2445.05,,353.382,252.496,153.155,38.5016,493.125,1405.91,288.088,476.955,1391.22,582.655,689.592,123.771,241.262,872.691,239.578,760.606,643.43,606.841,98.2235,786.222,2664.05,1119.89,358.132,2131.07,1509.81,1275.75,163.629,609.082,2642.66
50016,2557.24,1898.45,3799.11,906.355,337.727,,308.375,5320.04,,133.857,1147.94,2150.88,1982.8,1786.97,,,2933.86,3970.47,3876.01,4270.79,85.5777,215.58,507.535,470.911,1796.08,513.622,3225.57,2251.4,710.894,819.506,323.656,623.184,4021.92,147.041,858.242,425.11,1014.89,309.284,1166.03,1650.63,321.355,833.089,1059.11,982.261,1047.28,153.983,657.059,1831.1,39.4042,,1095.36,1154.19,76.0624,474.551,1947.5,704.199,1134.46,3707.97,1593.08,991.975,766.248,655.253,3455.58
50017,1410.8,265.206,3967.07,,548.85,376.452,900.616,4624.57,,36.5132,1097.49,1717.78,1219.97,1359.62,462.145,168.091,2130.45,5887.99,1632.49,3258.73,114.19,215.831,150.949,639.466,1925.31,644.744,1788.19,1563,410.97,235.181,422.192,323.398,1889.02,,444.06,117.902,536.563,479.565,136.602,1158.56,,617.224,988.371,991.437,308.013,,347.381,1264.06,872.506,225.251,668.366,1105.46,135.319,520.814,1633.24,1972.72,559.535,4049.64,149.297,749.745,328.236,615.501,1889.96
50019,2029.99,1664.38,3676.91,738.296,110.549,565.123,317.852,5828.1,44.5526,36.2674,1694.9,1631.44,1261.87,1424.34,640.492,48.7628,2039.96,5814.84,2004.37,3386.51,222.266,50.5678,835.56,267.564,1476.47,212.407,3177.29,3550.8,660.389,669.914,331.944,513.088,2853.21,628.195,154.613,747.347,993.579,144.819,245.18,1374.31,82.8448,526.487,2009.35,348.764,348.87,503.316,664.55,2037.89,439.559,665.466,780.06,1055.76,,809.405,1518.53,502.663,1047.73,3135.12,574.452,1853.78,202.815,804.459,2566.34
50020,2019.82,1556.07,3661.11,411.793,819.65,,674.952,4954.06,,,304.308,1270.61,2506.15,1370.73,539.641,946.699,1721.37,4204.97,2803.23,3107.65,,,807.477,459.235,1379.56,670.874,2821.33,1226.76,490.976,738.749,149.212,529.422,3023.47,153.509,,191.114,839.665,206.539,532.755,939.096,276.497,490.265,1219.33,466.056,503.599,,817.228,1320.07,290.66,335.787,347.259,946.695,192.855,213.027,964.78,1762.74,621.662,4467.89,201.327,776.35,41.5045,1005.39,2474.75
50022,1830.1,98.3621,4711.97,160.887,490.779,,,5546.87,,,1318.78,1520.29,3045.65,1943.52,,110.966,1962.43,5827.99,2864.51,4085.68,,,714.244,414.396,587.348,417.874,2064.68,2435.98,857.429,331.201,54.185,1132.12,2783.2,285.77,592.712,317.075,1147.49,113.392,173.52,1215.78,,784.54,1547.09,609.512,,,881.95,1343.89,992.089,498.163,152.602,993.681,,180.728,1238.62,1145.86,898.596,3932.26,790.154,1573.46,37.7846,686.04,2910.02
50023,2225.29,92.8661,3969.62,174.853,264.53,,447.062,4684.81,,41.7407,,1603.33,2168.29,2381.52,195.145,97.1358,1526.97,5561.21,3810.93,4359.09,,103.482,753.569,916.305,1578.12,310.474,2699.98,2812.52,743.636,917.17,312.22,1051.18,2254.91,,,321.996,285.273,,,1840.07,,962.082,1642.28,1127.98,44.2434,197.433,585.113,987.636,48.347,,358.421,472.22,155.436,528.209,1179.1,1298.51,645.52,3862.78,700.703,366.708,366.767,750.948,1813.51
50024,2212.85,1746.31,3512.65,350.598,308.542,,319.363,4978.64,,135.922,1258.51,1334.07,1167.28,1531.15,427.781,117.163,1780.44,4448.33,2192.82,3118.32,,231.727,824.068,390.298,1671.92,75.1677,1971.34,1916.35,158.632,611.69,497.685,402.032,2752.54,27.2546,,,163.288,154.817,593.902,831.38,186.2,499.638,1233.13,294.181,,,927.612,1502.76,578.177,746.271,571.127,911.17,67.0931,807.378,1237.75,1561.56,1120.23,2252.92,1707,894.622,385.06,430.621,2483.52
50025,1091.49,1483.2,3856.83,505.484,444.019,,405.84,3841.85,,,619.865,1225.63,1417.3,593.31,,55.4756,1234.31,2080.18,2383.86,2107.32,88.5403,,329.774,510.839,545.56,418.967,796.797,1629.47,592.948,278.437,,37.0083,2141.38,,81.0631,451.746,790.784,78.9789,621.994,624.506,344.05,355.308,735.053,334.682,696.172,488.988,400.802,1010.29,151.593,100.576,600.166,1086.25,,,271.253,1352.24,484.223,2286.31,1128.39,753.92,,392.389,2338.43
50026,1760.76,1854.78,4781.8,681.565,282.182,,135.009,5322.91,,119.979,1325.04,1469.14,2181.25,2767.82,123.267,,2642.97,3901.71,2772.74,3377.88,178.926,206.624,1757.65,258.159,977.475,552.07,2410.36,2231.97,768.376,704.102,250.918,640.838,2113.27,,570.593,485.182,884.223,321.743,1087.26,469.567,,800.347,1010.8,418.127,454.878,,783.606,1569.03,516.214,379.471,1149.21,433.206,,396.263,2078.5,990.802,1023.1,2399.05,2231,1619.46,357.878,946.082,1640.5
50027,1218.6,1660.97,3776.32,447.602,839.564,,521.381,4056.81,,,805.768,1105.64,1580.8,2388.4,139.911,212.208,1314.67,1515.59,2696.69,2799.62,363.449,,511.866,88.665,675.471,524.384,1144.54,2245.15,225.563,167.741,242.41,42.9733,2016.54,170.296,54.07,394.995,468.044,,745.999,931.281,413.913,208.915,1207.56,1394.97,205.567,,767.331,856.776,209.105,720.581,619.5,646.237,258.75,477.656,760.106,1015.42,441.998,2182.47,1590.56,1092.62,79.8766,920.278,1782.13
50028,1739.73,2116.43,5556.09,833.901,292.217,319.503,,4751.21,,,1053.9,1844.45,1916.72,1623.99,241.407,193.84,1614.7,2740.64,3068,3453.07,98.1927,88.0839,1011.65,738.779,1932.56,614.534,1877.23,3331.25,696.126,481.039,319.771,936.529,3273.31,534.155,91.4769,490.906,736.204,251.022,247.957,1143.42,585.755,855.535,1694.55,719.67,1178.39,,639.054,718.508,684.605,398.649,864.565,1508.94,251.904,463.448,1386.76,1413.14,856.033,3363.75,971.39,2412.67,417.734,827.299,2107.82
50029,1816.61,2180.11,5201.84,778.773,359.258,,590.038,6539.73,,,1308.56,1838.71,2432.19,1114.24,125.112,,2747.26,4334.5,3787.99,3643.21,,154.201,603.803,446.064,1985.6,547.123,2101.99,2922.73,548.081,901.459,300.205,1248.34,2498.91,464.385,642.515,406.294,624.132,68.8433,597.741,809.862,360.419,583.712,1916.68,785.713,,,1340.1,1072.14,1415.46,,770.91,1868.2,358.185,110.452,1430.96,1805.4,1849.88,4445.31,,1511.92,,1033.15,2111.51
50030,1698.1,1664.78,4138.15,216.463,1076.68,,620.243,4426.72,,,1050.28,1909.87,2035.88,1128.28,239.871,100.802,1924.57,3434.01,2901.02,3521.76,214.502,,793.873,625.453,1791.16,458.615,1918.07,2216.99,647.119,778.703,475.395,354.455,3628.94,370.07,619.944,515.728,726.759,331.588,444.133,1523.77,542.33,509.291,742.278,452.232,197.458,211.432,706.601,1127.38,42.6718,71.444,932.519,1044.22,159.567,247.916,1545.39,1523.26,886.59,3762.24,795.579,2114.4,,183.346,2528.05
50031,1208.59,2224.81,4229.3,517.631,530.547,,292.063,5397.14,,,880.45,1837.64,1652.57,735.562,175.91,243.434,2136.34,3977.46,3613.31,3239.35,69.9194,,336.497,346.34,1319.24,822.338,2190.37,3013.6,593.184,666.52,444.402,677.632,2577.97,43.1898,318.826,312.229,653.351,125.193,411.679,1273.57,181.606,317.502,1382.61,981.279,,,1067.24,953.14,636.737,481.254,912.159,1182.5,346.556,556.552,1839.5,1256.8,592.315,2622.6,1366.22,1477.05,,783.725,2525.11
50032,2123.11,1863.58,4364.94,209.671,1152.63,,664.508,4682.02,30.7272,109.765,1237.54,1655,2149.04,1601.49,,287.76,1285.82,3751.89,2493.71,3111.7,,510.994,590.374,937.82,1941.05,602.526,1685.69,2162.17,614.726,308.604,190.593,739.043,2209.5,191.383,271.27,357.2,,94.6619,863.27,1204.14,309.036,398.418,1001.82,604.398,526.239,991.471,600.424,1096.33,,781.155,1707.61,618.585,371.01,302.392,1096.01,1287.52,1713.31,3257.19,956.328,704.155,134.319,620.746,2108.47
50033,1511.41,1937.22,4068.62,64.5318,699.078,,636.496,4906.49,,334.36,1008.69,1724.33,2468.34,1335.76,352.021,323.809,2273.46,3712.65,2339.09,3114.91,144.273,150.326,611.757,33.8123,1353.28,301.764,1577.86,2017.22,588.978,291.347,249.443,739.867,2335.69,,28.4079,548.775,862.906,426.188,209.499,1043.08,,666.206,1517.76,424.238,551.616,333.147,1700.09,958.911,,1352.05,873.891,977.836,156.959,474.283,886.11,3162.98,1024.36,3260.25,458.681,,49.6818,447.698,1898.42
50034,2800.1,2381.01,4765.12,572.891,382.416,,,4824.64,,175.325,574.021,1690.41,2338.08,1226.44,389.258,495.505,2267.66,2727.14,2773.96,3266.79,,331.586,611.628,700.174,1180.83,,3112.82,2605.54,346.648,466.365,183.157,604.848,1908.83,561.237,188.15,802.812,676.804,198.345,180.438,878.784,50.4115,555.538,1571.28,498.613,975.049,,744.451,1872.51,403.633,408.52,885.283,769.473,,324.366,1019.47,1681.31,1021.48,4432.86,,110.702,124.551,1135.43,2354.27
50035,2018.73,517.676,3829.64,482.552,453.526,234.273,343.825,5777.09,,,633.341,1084.11,1577.07,659.882,440.865,655.307,1999.39,4645.06,3447.13,3140.28,188.936,,935.885,459.951,1808.29,605.479,1394.03,1255.07,630.265,801.617,249.589,1133.07,3108.41,,81.1783,269.781,714.571,651.16,55.3101,723.77,130.193,382.458,1043.55,399.037,142.825,,697.955,1512.54,,486.306,,943.422,196.97,553.096,1031.82,1921.17,1675.72,3041.3,290.211,1195.34,,432.08,2255.14
50036,1393.85,1759.51,3968.5,213.614,631.699,,472.724,4464.05,,,672.419,1217.67,2383.44,1758.38,630.751,110.029,1165.47,3196.52,2847.91,2572.77,48.2542,31.0982,931.659,447.037,1112.09,351.414,1247.15,3027.29,421.791,526.806,480.134,696.44,1856.03,78.9623,71.4973,121.252,770.721,168.346,108.286,2191.08,,708.866,700.541,498.678,601.692,,1152.25,1303.51,,542.902,,310.989,,192.212,1318.34,243.481,1314.26,2183.89,124.674,2334.13,,711.755,1785.89
50037,1305.03,2304.03,3840.23,611.989,502.258,,554.884,4204.88,,258.037,646.278,1904.7,2124.16,1046.29,498.36,257.241,1641.11,3654.32,3504.83,2381.82,50.2164,28.7527,605.115,664.503,1330.01,63.9472,1980.37,2384.95,460.349,291.752,453.741,719.43,3257.99,814.678,111.5,187.631,870.03,275.074,243.436,971.073,,770.751,1451.95,1198.78,534.241,38.9785,757.156,648.83,220.289,328.054,1168.92,1583.4,37.5117,346.641,1143,897.465,581.408,3208.22,529.57,1420.99,287.198,223.782,2353.71
50038,1671.91,1843.83,4670.06,715.053,452.117,,51.8179,4164.8,,148.676,833.74,1791.9,1836.81,1637.76,49.3856,363.611,1710.7,3210.04,3417.07,2945.59,,,578.674,99.5026,1153.54,142.526,2446.7,1959.2,555.822,227.59,260.11,555.527,1647.45,352.027,,287.147,387.421,,63.7941,1734.23,248.129,273.735,753.345,647.847,645.952,,788.907,823.146,693.381,96.6731,534.438,730.614,,585.352,1171.12,1090.83,568.93,2326.17,499.877,2054.56,172.461,352.373,2876.87
50039,1632.53,1642.71,5643.95,,773.395,,271.085,4865.25,,,1185.58,1235.48,1615.56,950.174,207.402,373.876,1424.71,3439.07,2245.58,3011.38,65.7751,,86.3344,570.547,1327.55,636.283,1306.55,958.161,609.12,269.983,235.596,502.76,2553.4,,655.016,155.334,373.457,353.575,379.028,1127.59,,537.114,648.917,905.914,833.015,81.7242,948.599,1096.85,324.142,265.087,680.056,336.921,178.643,560.206,782.531,958.014,504.513,3045.24,391.683,1520.75,186.82,320.262,2036.56
50040,1985.12,188.428,1016.73,,1134.54,,385.866,3035.24,,,877.583,1106.9,2030.3,1459.84,437.81,213.326,2059.18,7879.59,3073.6,2506.21,,38.2652,293.738,139.282,392.925,971.567,1448.13,2321.52,116.932,406.897,,580.083,1467.36,249.188,307.329,297.486,383.862,64.9365,178.257,1430.87,,393.51,972.484,475.117,,,1478.07,38.6159,331.4,458.213,1431.43,1046.85,,307.768,1730.29,1003.65,237.68,2316.75,1647.32,856.94,133.348,531.74,1673.36
50041,1638.15,1587.23,4276.83,872.639,300.819,38.3487,404.013,4079.26,,103.062,1099.9,1195.02,1596.69,1625.99,256.668,501.404,1589.06,4211.51,4449.12,2932.16,76.8505,47.2294,369.381,87.1754,1266.54,,1661.15,1817.58,831.229,464.898,378.013,1029.52,2438.4,,656.148,115.155,212.037,131.754,424.969,1598.92,,667.955,1048.63,1125.09,388.697,45.1192,1866.36,198.952,774.885,808.88,987.729,205.908,639.471,491.857,1035.29,1700.31,726.597,3550.53,661.251,1888.47,212.61,948.535,2167.34
50042,1455.27,1442.7,4248.81,583.3,553.94,,140.363,4297.94,,51.7103,763.163,1582.51,1822.93,1566.05,66.9199,203.997,1149.18,3018.97,2869.62,2893.39,,78.3245,421.505,101.93,903.923,399.45,2240.34,2647.91,415.466,526.181,286.187,212.31,2174.71,,240.627,732.756,1390.29,225.928,,189.217,128.292,230.372,1567.94,353.858,496.768,476.473,932.039,847.984,183.102,623.474,860.296,845.538,,497.139,1337.38,1888.51,814.832,3245.37,500.539,943.286,112.337,966.102,2781.66
50043,1488,1851.29,4248.43,866.986,299.761,,234.852,4144.53,,113.067,1256.82,1175.22,1443.21,1794.62,,628.606,1081.57,3272.22,3006.54,2852.93,119.994,,864.628,1069.64,1260.78,,1795.28,3192.52,227.296,497.444,615.167,658.106,2029.06,18.484,374.446,445.681,639.121,153.957,418.237,339.77,200.217,741.681,1195.9,447.815,,1071.71,774.674,1886.4,323.282,828.848,538.228,932.823,,65.3537,1115.28,1621.64,985.618,3445.25,698.834,109.372,239.413,529.382,2757.99
50044,1868.81,1781.38,4318.59,750.146,394.803,,473.074,5256.29,,,1459.82,764.167,1659.56,1447.16,487.985,52.8637,1941.31,3426.87,3405.13,3427.95,154.985,251.901,357.169,595.091,674.027,998.457,1243.45,2111.56,1147.85,537.256,39.7606,617.537,2859.09,194.47,569.807,239.282,1372.6,382.667,702.841,617.631,129.452,646.224,1054.49,1729.41,,,1068.21,1140.43,1470.64,189.013,86.2701,948.142,45.3585,44.6484,998.348,2416.4,692.721,4744.3,,459.252,,734.525,2543.38
50045,1563.43,2514.15,3203.74,417.358,857.938,,480.129,5106.35,,50.8379,1234.36,2080.66,2286.55,2314.56,375.477,,2563.73,5137.96,4959.89,3134.07,100.91,90.1276,397.168,19.6064,1880.53,580.521,1530.46,2263.57,887.061,149.054,394.681,407.385,2799.1,292.447,836.42,199.487,707.116,406.041,571.473,1240.24,,634.093,882.648,973.974,665.846,,1006.52,1276.85,1205.48,268.087,392.584,1169.08,41.4965,617.895,1329.77,2070.49,771.648,3633.44,2047.94,113.168,299.986,458.384,2092.95
50046,1851.84,1613.65,3829.05,629.812,619.549,,456.587,4707.68,,109.24,558.708,1594.91,1453.25,844.746,476.573,,1367.25,2927.19,1701.05,2894.45,31.3349,131.667,407.886,412.741,1372.72,346.155,1711.12,789.537,530.098,611.322,729.83,464.473,2747.87,162.916,,,803.904,209.458,132.196,543.072,,718.425,932.545,1063.37,246.518,,1116.75,819.484,478.771,281.744,441.571,469.911,161.771,205.892,1306.75,1013.58,978.4,2264.15,951.426,1036.98,285.035,485.563,2178.78
50047,1258.69,1563.69,4192.65,1145.46,756.974,,99.4855,4998.75,,125.958,1065.38,1053.82,1783.05,1204.57,441.949,187.993,1634.22,3416.21,3500.72,3366.77,103.791,172.206,689.057,773.125,1811.82,345.528,1282.96,1420.12,537.665,378.374,605.983,806.901,3708.06,71.0855,,475.084,743.008,186.672,166.43,1086.67,53.2275,466.567,1006.4,1070.68,1065.18,,989.538,1389.34,,594.806,225.582,64.9564,420.378,514.69,2402.59,1435.83,693.582,2404.9,260.728,2103.06,250.719,1016.58,3155.45
50048,1113.08,1304.96,3341.02,598.574,440.969,,83.6894,3977.1,,183.928,849.321,1467.6,1708.74,1773.22,,,1877.29,2943.54,3421.6,2558.11,,302.115,725.799,344.32,591.783,411.705,1040.34,1749.82,517.852,175.856,27.2662,774.688,2426.06,,98.0667,287.608,610.958,,158.248,1434.53,,399.082,1253.53,249.221,768.78,,1512.98,957.006,1299.22,451.574,,567.64,254.771,,1682.3,456.643,334.913,2862.64,557.343,1318.66,219.152,578.64,2988.83
50049,990.925,1322.2,3154.89,301.264,468.897,,543.62,3781.9,,,1081.2,1787.73,1755.36,2218.04,97.6297,132.888,1457.37,2699.52,2551.72,2538.88,32.1634,,567.42,395.643,1012.95,325.681,1681.31,1960.31,780.838,254.416,,276.932,1881.22,,,547.855,763.328,145.003,264.476,326.165,438.254,550.163,916.417,100.77,,,1044.82,77.4599,210.591,301.129,1175.93,116.971,,251.983,710.012,1186.52,301.001,3369.47,,121.702,,678.302,1854.82
